,place,medium,large,control,zhvi_2312,treatment,pop_19,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022,one_unit_bldgs,one_unit_units,two_unit_bldgs,two_unit_units,three_unit_bldgs,three_unit_units,five_unit_bldgs,five_unit_units,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,large21
20,Forest Grove,0,1,0,504571.2894463724,Large,25180,2.1296734500709893,23.8,63.4,1.0,29.4,6.200000000000003,101408.0,37.756783477974295,33.4,2.3034154090548054,2.3034154090548054,0.07942811755361398,0.15885623510722796,0.0,0.0,0.0,0.0,5.281969817315329,0.3574265289912629,0.0,0.5162827640984908,3.534551231135822,0.0,0.0,0.0,0
21,Sherwood,0,1,0,622735.2699959981,Large,19595,0.8483627818975251,28.9,80.6,0.0,7.2,12.200000000000006,126723.0,25.845658222287305,49.6,3.4192396019392706,3.4192396019392706,0.05103342689461598,0.10206685378923196,0.10206685378923196,0.4082674151569278,0.0,0.0,1.0717019647869355,0.0,0.0,0.0,1.8372033682061752,0.0,0.0,0.0,0
22,Tualatin,0,1,0,628966.4968835028,Large,27135,0.45834399249594954,22.6,66.0,1.0,21.0,12.0,124238.0,44.94454120451004,45.8,2.61654689515386,2.61654689515386,0.0,0.0,0.0,0.0,0.07370554634236226,4.274921687857011,0.14741109268472452,0.0,0.0,0.18426386585590565,0.0,0.0,0.0,0.0,1
23,Ashland,1,0,0,532362.9545210432,Medium,20960,0.47828370794282715,13.1,81.6,0.7,10.1,7.600000000000007,108403.0,47.16403162055336,62.4,1.4312977099236641,1.4312977099236641,0.0,0.0,0.047709923664122134,0.19083969465648853,0.4293893129770992,3.3396946564885495,2.6240458015267176,0.0,0.09541984732824427,0.047709923664122134,1.6221374045801527,0.0,0.33396946564885494,0.1431297709923664,0
24,Wilsonville,0,1,0,629643.155272652,Large,25635,3.4770237587138997,18.4,71.8,1.8,14.2,12.200000000000003,112848.0,49.36875824382891,46.2,4.486054222742344,4.486054222742344,0.0,0.0,0.0,0.0,0.0,0.0,4.564072557050907,0.0,0.0,0.0,3.1987517066510627,0.0,0.0,0.0,1
25,Coos Bay,1,0,0,318630.8796950769,Medium,16700,0.5078967508522925,18.5,82.3,0.7,9.0,8.000000000000004,79327.0,39.906297368058425,20.2,0.8982035928143713,0.8982035928143713,0.0,0.0,0.0,0.0,0.0,0.0,1.3173652694610778,0.0,0.0,0.0,1.5568862275449102,0.0,0.0,0.0,0
26,Dallas,1,0,0,443955.6408668644,Medium,16260,1.2717995582971593,20.4,81.7,1.3,8.6,8.399999999999997,86364.0,30.99273607748184,23.8,7.195571955719556,7.195571955719556,0.0,0.0,0.0,0.0,0.12300123001230011,0.9840098400984009,8.610086100861007,0.061500615006150054,0.0,0.12300123001230011,8.056580565805657,0.0,0.0,0.0,0
27,Troutdale,0,1,0,465782.95613430726,Large,16185,0.14253928521763315,28.1,69.3,1.8,16.6,12.3,94671.0,30.892240596038523,24.2,0.9885696632684585,0.9885696632684585,0.0,0.0,0.0,0.0,0.0,0.0,3.5835650293481622,0.0,0.0,0.0,0.5560704355885079,0.0,0.0,0.0,0
28,Pendleton,1,0,0,276739.12408445013,Medium,17020,0.277694134966041,24.1,78.6,1.3,11.9,8.200000000000005,83052.0,45.47899159663866,22.6,1.1163337250293772,1.1163337250293772,0.05875440658049354,0.11750881316098707,0.0,0.0,0.0,0.0,2.1739130434782608,0.05875440658049354,0.0,0.4112808460634548,1.2338425381903644,0.17626321974148063,0.0,0.17626321974148063,0
29,Hood River,0,0,1,672341.6602901459,Control,8305,1.7409470752089136,22.2,66.8,1.5,24.2,7.5000000000000036,97589.0,47.69230769230769,42.9,1.2040939193257074,1.2040939193257074,0.12040939193257075,0.2408187838651415,0.0,0.0,0.0,0.0,2.408187838651415,0.2408187838651415,0.0,0.0,3.0102347983142685,0.6020469596628537,0.0,0.0,0
